id,date,store_nbr,item_nbr,onpromotion,min,avg,max
125497336,2017-08-16,1,313094,False,3.0,4.5,6.0
125499597,2017-08-16,1,1464607,False,2.0,6.0,10.0
125499616,2017-08-16,1,1467088,False,1.0,1.0,1.0
125499617,2017-08-16,1,1467093,False,3.0,3.0,3.0
125500565,2017-08-16,1,2015646,False,0.0,0.0,0.0
125500845,2017-08-16,1,2109969,False,2.0,4.0,6.0
125500849,2017-08-16,1,2112280,False,8.0,8.0,8.0
125500850,2017-08-16,1,2112303,False,0.0,0.0,0.0
125500852,2017-08-16,1,2112461,False,1.0,2.5,4.0
125500853,2017-08-16,1,2112462,False,1.0,2.5,4.0
125500854,2017-08-16,1,2112607,False,7.0,7.0,7.0
125500864,2017-08-16,1,2117783,False,1.0,4.5,10.0
125500865,2017-08-16,1,2118397,False,0.0,0.0,0.0
125500867,2017-08-16,1,2120180,False,4.0,4.0,4.0
125500868,2017-08-16,1,2120216,False,4.0,4.0,4.0
125500869,2017-08-16,1,2120506,False,1.0,2.33333333333,4.0
125500870,2017-08-16,1,2120681,False,3.0,3.0,3.0
125500872,2017-08-16,1,2120768,False,1.0,2.33333333333,4.0
125500873,2017-08-16,1,2121319,False,1.0,3.0,6.0
125500897,2017-08-16,1,2124705,False,1.0,2.33333333333,4.0
125500898,2017-08-16,1,2125814,False,3.0,4.5,6.0
125500899,2017-08-16,1,2126696,False,2.0,3.66666666667,5.0
125500902,2017-08-16,1,2127024,False,7.0,7.0,7.0
125500903,2017-08-16,1,2127069,False,4.0,4.0,4.0
125500905,2017-08-16,1,2127175,False,1.0,1.5,2.0
125500906,2017-08-16,1,2127206,False,1.0,2.33333333333,4.0
125500907,2017-08-16,1,2127544,False,1.0,2.33333333333,4.0
125500908,2017-08-16,1,2127651,False,8.0,8.0,8.0
125500909,2017-08-16,1,2127733,False,8.0,8.0,8.0
125500910,2017-08-16,1,2127825,False,4.0,4.0,4.0
125500911,2017-08-16,1,2127921,False,3.0,3.0,3.0
125500912,2017-08-16,1,2127992,False,3.0,3.0,3.0
